Prefixo do veiculo,Data de entrada do veiculo na frota,Quantidade de lugares sentados disponiveis,Linha associada ao veiculo,Modelo do veiculo,Categoria do veiculo
*R801,2009-03-20,42,022,BUSSCAR URBANUSS PLUSS,ARTICULADO
CR804,2009-01-29,41,022,CAIO MILLENNIUM II,ARTICULADO
*R803,2009-01-28,43,023,MARCOPOLO VIALE,ARTICULADO
*R804,2009-01-28,43,022,MARCOPOLO VIALE,ARTICULADO
*R805,2009-01-28,43,023,MARCOPOLO VIALE,ARTICULADO
ER802,2009-02-17,45,022,MARCOPOLO VIALE,ARTICULADO
HE731,2019-05-13,53,603,CAIO MILLENNIUM BRT,BIARTICULADO
BA127,2009-05-29,26,232,NEOBUS MEGA,COMUM
BA136,NULO,26,233,NEOBUS MEGA,COMUM
BA139,2009-05-29,26,342,NEOBUS MEGA,COMUM
BA134,2009-05-29,26,231,NEOBUS MEGA,COMUM
HN403,2009-06-30,19,668,NEOBUS SPECTRUM,MICROESPECIAL
BC928,NULO,19,365,NULO,MICROESPECIAL
BC932,2009-06-23,19,365,NEOBUS SPECTRUM,MICROESPECIAL
CC297,2009-06-23,28,372,NULO,COMUM
MA012,2009-07-13,28,916,MARCOPOLO TORINO,COMUM
GA179,2009-08-13,26,624,NEOBUS MEGA,COMUM
GA180,2009-08-13,26,639,NEOBUS MEGA,COMUM
DC090,NULO,28,338,MARCOPOLO TORINO,COMUM
DA027,2009-09-29,28,621,MARCOPOLO TORINO,COMUM
DC092,2009-09-29,28,468,MARCOPOLO TORINO,COMUM
DC091,2009-09-29,28,309,MARCOPOLO TORINO,COMUM
DC093,2009-09-29,28,462,MARCOPOLO TORINO,COMUM
DA029,2009-09-29,28,621,MARCOPOLO TORINO,COMUM
DC292,2009-09-29,28,468,MARCOPOLO TORINO,COMUM
LB605,2010-01-28,38,040,MARCOPOLO VIALE,ARTICULADO
BT008,2010-05-31,65,979,BUSSCAR URBANUSS PLUSS L,PADRON
LC297,NULO,27,820,NULO,COMUM
HA699,2010-10-18,35,617,MARCOPOLO GRAN VIALE,ARTICULADO
JC601,2010-10-18,35,706,NULO,ARTICULADO
LC296,2010-10-18,27,826,MARCOPOLO TORINO,COMUM
LC298,NULO,27,860,MARCOPOLO TORINO,COMUM
LC295,2010-10-18,27,652,MARCOPOLO TORINO,COMUM
JC600,2010-10-18,35,545,MARCOPOLO VIALE,ARTICULADO
HA698,2010-10-18,35,650,MARCOPOLO GRAN VIALE,ARTICULADO
HA193,2010-10-18,28,646,MARCOPOLO TORINO,COMUM
HA195,2010-10-18,28,658,NULO,COMUM
HA192,2010-10-18,28,646,MARCOPOLO TORINO,COMUM
HA196,2010-10-18,28,658,MARCOPOLO TORINO,COMUM
JC317,2010-10-18,28,701,NULO,PADRON
JC301,2010-10-18,28,706,MARCOPOLO VIALE,PADRON
JC303,2010-10-18,28,706,MARCOPOLO VIALE,PADRON
JC314,2010-10-18,28,701,MARCOPOLO VIALE,PADRON
JC316,2010-10-18,28,706,MARCOPOLO VIALE,PADRON
JC302,2010-10-18,28,701,MARCOPOLO VIALE,PADRON
JC315,2010-10-18,28,706,MARCOPOLO VIALE,PADRON
JC308,2010-10-18,28,701,MARCOPOLO VIALE,PADRON
JB301,2010-10-18,28,720,MARCOPOLO GRAN VIALE,PADRON
JB606,2010-10-18,39,706,MARCOPOLO VIALE,ARTICULADO
JB604,2010-10-18,39,050,MARCOPOLO VIALE,ARTICULADO
MT012,2010-09-30,65,979,BUSSCAR URBANUSS PLUSS L,PADRON
MT011,2010-09-30,65,979,BUSSCAR URBANUSS PLUSS L,PADRON
BC321,2010-09-30,28,207,MARCOPOLO VIALE,PADRON
BC301,2010-09-30,28,205,MARCOPOLO VIALE,PADRON
BC322,2010-09-30,28,207,MARCOPOLO VIALE,PADRON
BC300,2010-09-30,28,205,MARCOPOLO VIALE,PADRON
MC300,2010-09-30,28,901,MARCOPOLO VIALE,PADRON
*B602,NULO,39,040,NEOBUS MEGA,ARTICULADO
*B601,2010-10-26,39,021,NEOBUS MEGA,ARTICULADO
*B603,NULO,39,040,NEOBUS MEGA,ARTICULADO
*B605,2010-10-26,39,020,NEOBUS MEGA,ARTICULADO
*B604,2010-10-26,39,021,NEOBUS MEGA,ARTICULADO
MA949,2010-10-26,19,918,NEOBUS SPECTRUM,MICROESPECIAL
EA301,2010-09-30,28,335,MARCOPOLO VIALE,PADRON
EA302,2010-09-30,28,515,MARCOPOLO VIALE,PADRON
EC304,2010-09-30,28,475,MARCOPOLO VIALE,PADRON
EA300,2010-09-30,28,335,MARCOPOLO VIALE,PADRON
CC298,2010-12-28,28,372,CAIO APACHE VIP,COMUM
ML302,2011-01-31,31,023,MARCOPOLO VIALE,PADRON
MA013,2011-01-31,28,917,MARCOPOLO TORINO,COMUM
ML303,2011-01-31,31,307,MARCOPOLO VIALE,PADRON
MC304,2011-04-29,28,901,NULO,PADRON
MC303,2011-04-29,28,901,NEOBUS MEGA,PADRON
MC851,NULO,19,965,NEOBUS SPECTRUM,MICROESPECIAL
GE706,2011-04-15,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
GE700,2011-04-15,57,602,NEOBUS MEGA BRT,BIARTIC. BIO
GE701,2011-04-15,57,203,NEOBUS MEGA BRT,BIARTIC. BIO
GE702,2011-04-15,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
GE707,2011-04-15,57,602,NEOBUS MEGA BRT,BIARTIC. BIO
GE703,2011-04-15,57,603,NEOBUS MEGA BRT,BIARTIC. BIO
GE710,2011-04-15,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
GE704,2011-04-15,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
GE709,2011-04-15,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
HA603,2011-04-29,38,646,NEOBUS MEGA BRT,ARTICULADO
HA602,2011-04-29,38,650,NEOBUS MEGA BRT,ARTICULADO
HE702,2011-04-29,57,200,NEOBUS MEGA BRT,BIARTIC. BIO
HE700,NULO,57,603,NULO,BIARTIC. BIO
HE703,2011-04-29,57,602,NULO,BIARTIC. BIO
HE701,2011-04-29,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
HE706,2011-04-29,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
HE705,2011-04-29,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
KA601,2011-05-31,38,545,NEOBUS MEGA BRT,ARTICULADO
KA600,2011-05-31,38,545,NEOBUS MEGA BRT,ARTICULADO
KA602,2011-05-31,38,545,NEOBUS MEGA BRT,ARTICULADO
JL300,2011-05-19,29,702,NEOBUS MEGA BRT,PADRON
JL302,2011-05-19,29,NULO,NEOBUS MEGA BRT,PADRON
BL325,2011-05-06,29,307,NEOBUS MEGA BRT,PADRON
HL301,2011-04-29,29,NULO,NEOBUS MEGA BRT,PADRON
HL300,2011-04-29,29,607,NEOBUS MEGA BRT,PADRON
HL305,2011-04-29,29,022,NEOBUS MEGA BRT,PADRON
HL306,2011-04-29,29,NULO,NEOBUS MEGA BRT,PADRON
HL302,2011-04-29,29,700,NEOBUS MEGA BRT,PADRON
BL329,2011-05-06,29,307,NEOBUS MEGA BRT,PADRON
BL326,2011-05-06,29,022,NEOBUS MEGA BRT,PADRON
JL301,2011-05-19,29,NULO,NEOBUS MEGA BRT,PADRON
GE711,2011-05-06,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
GE712,2011-05-06,57,550,NEOBUS MEGA BRT,BIARTIC. BIO
GE715,2011-05-06,57,200,NEOBUS MEGA BRT,BIARTIC. BIO
GE705,2011-05-06,57,603,NEOBUS MEGA BRT,BIARTIC. BIO
GE713,NULO,57,603,NEOBUS MEGA BRT,BIARTIC. BIO
JL308,2011-05-19,29,NULO,NEOBUS MEGA BRT,PADRON
JL310,2011-05-19,29,022,NEOBUS MEGA BRT,PADRON
JL309,2011-05-19,29,024,NEOBUS MEGA BRT,PADRON
JL305,2011-05-19,29,702,NEOBUS MEGA BRT,PADRON
JL307,2011-05-19,29,702,NEOBUS MEGA BRT,PADRON
JL311,2011-05-19,29,702,NEOBUS MEGA BRT,PADRON
JL314,2011-05-19,29,022,NEOBUS MEGA BRT,PADRON
*C001,2011-05-31,27,633,MARCOPOLO TORINO,COMUM
*C006,2011-05-31,27,625,MARCOPOLO TORINO,COMUM
JL317,2011-05-19,29,NULO,NEOBUS MEGA BRT,PADRON
JL315,2011-05-19,29,702,NEOBUS MEGA BRT,PADRON
GE716,2011-05-06,57,203,NEOBUS MEGA BRT,BIARTIC. BIO
BL302,2011-05-25,29,505,NEOBUS MEGA BRT,PADRON
BL305,NULO,29,505,NEOBUS MEGA BRT,PADRON
BL303,2011-05-25,29,700,NEOBUS MEGA BRT,PADRON
BL304,2011-05-25,29,505,NEOBUS MEGA BRT,PADRON
BL301,2011-05-25,29,023,NEOBUS MEGA BRT,PADRON
BL306,NULO,29,700,NEOBUS MEGA BRT,PADRON
CA600,2011-06-22,38,216,NULO,ARTICULADO
CA601,2011-07-06,38,216,NEOBUS MEGA BRT,ARTICULADO
BB601,2011-06-08,38,020,NEOBUS MEGA BRT,ARTICULADO
HA601,2011-06-10,38,680,NEOBUS MEGA BRT,ARTICULADO
CL302,2011-05-31,29,307,NEOBUS MEGA BRT,PADRON
CL301,2011-05-31,29,022,NEOBUS MEGA BRT,PADRON
CL303,2011-05-31,29,022,NEOBUS MEGA BRT,PADRON
CL304,2011-05-31,29,307,NEOBUS MEGA BRT,PADRON
HA604,2011-06-10,38,684,NEOBUS MEGA BRT,ARTICULADO
CL300,2011-05-31,29,307,NEOBUS MEGA BRT,PADRON
BC850,2011-06-29,19,386,MARCOPOLO SENIOR,MICROESPECIAL
HL309,2011-06-10,29,NULO,NEOBUS MEGA BRT,PADRON
HL312,2011-06-10,29,607,NEOBUS MEGA BRT,PADRON
HL308,2011-06-10,29,607,NEOBUS MEGA BRT,PADRON
HL313,2011-06-10,29,022,NEOBUS MEGA BRT,PADRON
BL307,2011-06-30,29,505,NEOBUS MEGA BRT,PADRON
BL308,2011-06-30,29,023,NEOBUS MEGA BRT,PADRON
BL309,2011-06-30,29,505,NEOBUS MEGA BRT,PADRON
BL312,2011-06-30,29,700,NEOBUS MEGA BRT,PADRON
BC851,NULO,19,366,NULO,MICROESPECIAL
CL306,2011-05-31,29,307,NEOBUS MEGA BRT,PADRON
GL307,2011-07-27,29,508,NEOBUS MEGA BRT,PADRON
GL306,2011-07-27,29,610,NEOBUS MEGA BRT,PADRON
GL308,2011-07-27,29,506,NEOBUS MEGA BRT,PADRON
GL305,2011-07-27,29,507,NEOBUS MEGA BRT,PADRON
HA608,2011-06-30,38,684,NEOBUS MEGA BRT,ARTICULADO
HL307,2011-06-10,29,700,NEOBUS MEGA BRT,PADRON
BB602,2011-06-10,38,020,NEOBUS MEGA BRT,ARTICULADO
BL300,2011-07-06,29,256,NEOBUS MEGA BRT,PADRON
BB612,2011-06-16,38,020,NEOBUS MEGA BRT,ARTICULADO
GL300,2011-07-27,29,506,NEOBUS MEGA BRT,PADRON
GL301,2011-07-27,29,508,NEOBUS MEGA BRT,PADRON
GL302,2011-07-27,29,508,NULO,PADRON
BB613,2011-06-16,38,021,NEOBUS MEGA BRT,ARTICULADO
BB604,2011-06-16,38,021,NEOBUS MEGA BRT,ARTICULADO
BA601,2011-06-16,38,216,NEOBUS MEGA BRT,ARTICULADO
BA600,2011-06-16,38,245,NEOBUS MEGA BRT,ARTICULADO
BB603,2011-06-16,38,020,NEOBUS MEGA BRT,ARTICULADO
BB606,2011-06-16,38,030,NEOBUS MEGA BRT,ARTICULADO
HL324,2011-06-28,29,700,NEOBUS MEGA BRT,PADRON
HL326,2011-06-28,29,NULO,NEOBUS MEGA BRT,PADRON
HL321,2011-06-28,29,607,NEOBUS MEGA BRT,PADRON
HL325,2011-06-28,29,607,NEOBUS MEGA BRT,PADRON
HL323,2011-06-28,29,NULO,NEOBUS MEGA BRT,PADRON
HL322,2011-06-28,29,700,NEOBUS MEGA BRT,PADRON
HA610,2011-08-01,38,684,NEOBUS MEGA BRT,ARTICULADO
*B600,2011-07-06,38,060,NEOBUS MEGA BRT,ARTICULADO
HA606,2011-06-21,38,650,NEOBUS MEGA BRT,ARTICULADO
*C012,2011-06-30,28,625,MARCOPOLO TORINO,COMUM
*C009,2011-06-30,27,542,MARCOPOLO TORINO,COMUM
*C015,2011-06-30,27,665,MARCOPOLO TORINO,COMUM
*C010,2011-06-30,27,636,MARCOPOLO TORINO,COMUM
*C014,2011-06-30,27,665,MARCOPOLO TORINO,COMUM
GB603,2011-06-28,38,040,NEOBUS MEGA BRT,ARTICULADO
LC852,2011-07-11,19,861,MARCOPOLO SENIOR,MICROESPECIAL
BB605,2011-07-19,38,030,NEOBUS MEGA BRT,ARTICULADO
BL315,2011-07-19,29,256,NEOBUS MEGA BRT,PADRON
BL311,2011-07-19,29,505,NEOBUS MEGA BRT,PADRON
BL336,2011-08-04,29,022,NEOBUS MEGA BRT,PADRON
BL337,2011-08-04,29,022,NEOBUS MEGA BRT,PADRON
BL335,2011-07-20,29,022,NEOBUS MEGA BRT,PADRON
BL331,2011-07-20,29,023,NULO,PADRON
BL321,2011-07-19,29,256,NEOBUS MEGA BRT,PADRON
BL334,2011-07-20,29,022,NEOBUS MEGA BRT,PADRON
BL339,2011-07-19,29,023,NEOBUS MEGA BRT,PADRON
BL332,2011-07-19,29,023,NEOBUS MEGA BRT,PADRON
BL330,2011-07-19,29,518,NEOBUS MEGA BRT,PADRON
DL300,2011-08-01,29,022,NEOBUS MEGA BRT,PADRON
DL302,NULO,29,304,NEOBUS MEGA BRT,PADRON
DL301,2011-08-01,29,022,NEOBUS MEGA BRT,PADRON
HL315,2011-08-08,29,NULO,NEOBUS MEGA BRT,PADRON
HL314,2011-08-08,29,607,NEOBUS MEGA BRT,PADRON
HL316,2011-07-21,29,607,NEOBUS MEGA BRT,PADRON
HL319,2011-07-21,29,NULO,NEOBUS MEGA BRT,PADRON
DL303,2011-08-01,29,304,NEOBUS MEGA BRT,PADRON
BL313,2011-08-12,29,700,NEOBUS MEGA BRT,PADRON
BL316,2011-07-27,29,256,NULO,PADRON
BL320,2011-07-27,29,505,NEOBUS MEGA BRT,PADRON
DE701,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE708,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE704,2011-08-05,57,302,NEOBUS MEGA BRT,BIARTICULADO
HA012,2011-08-03,28,684,MARCOPOLO TORINO,COMUM
HA609,2011-07-28,38,650,NEOBUS MEGA BRT,ARTICULADO
HA016,2011-08-03,28,681,MARCOPOLO TORINO,COMUM
HA011,2011-08-03,28,659,MARCOPOLO TORINO,COMUM
GB608,2011-08-26,38,050,NEOBUS MEGA BRT,ARTICULADO
GB604,2011-08-26,38,050,NEOBUS MEGA BRT,ARTICULADO
CB600,2011-08-02,38,020,NEOBUS MEGA BRT,ARTICULADO
CB601,2011-08-02,38,NULO,NEOBUS MEGA BRT,ARTICULADO
CB603,2011-08-02,38,020,NEOBUS MEGA BRT,ARTICULADO
LE700,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
LE701,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
LE703,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DL305,2011-08-08,29,304,NEOBUS MEGA BRT,PADRON
KB600,2011-08-24,38,027,NEOBUS MEGA BRT,ARTICULADO
KB601,2011-08-24,38,021,NEOBUS MEGA BRT,ARTICULADO
KB602,2011-08-24,38,027,NEOBUS MEGA BRT,ARTICULADO
DE709,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE706,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE705,2011-10-03,57,302,NEOBUS MEGA BRT,BIARTICULADO
DE710,2011-10-03,56,303,NEOBUS MEGA BRT,BIARTICULADO
DE707,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE703,2011-10-03,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE700,2011-10-04,57,303,NEOBUS MEGA BRT,BIARTICULADO
GL312,2011-08-23,29,520,NEOBUS MEGA BRT,PADRON
GL316,2011-08-23,29,610,NEOBUS MEGA BRT,PADRON
GL315,2011-08-23,29,520,NEOBUS MEGA BRT,PADRON
GL310,2011-08-23,29,507,NEOBUS MEGA BRT,PADRON
GL314,NULO,29,506,NEOBUS MEGA BRT,PADRON
GL311,2011-08-23,29,610,NEOBUS MEGA BRT,PADRON
GL313,2011-08-23,29,508,NEOBUS MEGA BRT,PADRON
GL309,2011-08-23,29,024,NEOBUS MEGA BRT,PADRON
GL317,2011-08-23,29,506,NEOBUS MEGA BRT,PADRON
KA604,2011-08-25,38,545,NEOBUS MEGA BRT,ARTICULADO
KA603,2011-08-25,38,629,NEOBUS MEGA BRT,ARTICULADO
HL318,2011-09-15,29,607,NEOBUS MEGA BRT,PADRON
BB615,2011-09-15,38,020,NEOBUS MEGA BRT,ARTICULADO
BA603,2011-09-15,38,216,NEOBUS MEGA BRT,ARTICULADO
BB610,2011-09-15,38,030,NEOBUS MEGA BRT,ARTICULADO
DL308,2011-09-15,29,305,NEOBUS MEGA BRT,PADRON
BC004,NULO,27,876,MARCOPOLO TORINO,COMUM
BA014,2011-09-30,28,816,MARCOPOLO TORINO,COMUM
HL317,2011-09-15,29,024,NEOBUS MEGA BRT,PADRON
HL320,2011-09-15,29,607,NEOBUS MEGA BRT,PADRON
HL328,2011-09-15,29,508,NEOBUS MEGA BRT,PADRON
*A001,2011-10-10,27,814,MARCOPOLO TORINO,COMUM
*A010,2011-10-10,27,828,MARCOPOLO TORINO,COMUM
LC009,2011-10-10,27,828,MARCOPOLO TORINO,COMUM
LC019,NULO,27,860,NULO,COMUM
*A004,2011-10-10,27,828,MARCOPOLO TORINO,COMUM
BE700,2011-10-03,57,203,NEOBUS MEGA BRT,BIARTICULADO
LC017,2011-12-08,27,801,MARCOPOLO TORINO,COMUM
BA015,2011-10-17,28,812,MARCOPOLO TORINO,COMUM
BA025,2011-11-10,28,816,MARCOPOLO TORINO,COMUM
EL302,NULO,29,506,NEOBUS MEGA BRT,PADRON
EL300,2011-10-04,29,508,NEOBUS MEGA BRT,PADRON
EL301,NULO,29,505,NULO,PADRON
EL303,2011-10-04,29,507,NEOBUS MEGA BRT,PADRON
JL601,2011-09-26,42,023,NEOBUS MEGA BRT,ARTICULADO
JL600,NULO,42,022,NEOBUS MEGA BRT,ARTICULADO
BA024,2011-11-10,28,822,MARCOPOLO TORINO,COMUM
BA021,2011-11-10,28,827,MARCOPOLO TORINO,COMUM
BA020,2011-11-10,28,812,MARCOPOLO TORINO,COMUM
BA026,2011-11-10,28,245,MARCOPOLO TORINO,COMUM
GE720,2011-10-03,57,603,NEOBUS MEGA BRT,BIARTICULADO
GE722,2011-10-03,57,550,NEOBUS MEGA BRT,BIARTICULADO
EL312,2011-10-04,29,505,NEOBUS MEGA BRT,PADRON
GE719,2011-10-03,57,603,NEOBUS MEGA BRT,BIARTICULADO
LC022,2011-11-04,27,652,MARCOPOLO TORINO,COMUM
LC013,2011-11-09,27,801,MARCOPOLO TORINO,COMUM
MC307,2011-12-13,28,901,NEOBUS MEGA,PADRON
DL316,NULO,29,022,NEOBUS MEGA BRT,PADRON
DL315,2011-10-05,29,022,NEOBUS MEGA BRT,PADRON
DL310,2011-10-05,29,304,NEOBUS MEGA BRT,PADRON
*A008,2011-11-04,27,860,MARCOPOLO TORINO,COMUM
BB614,NULO,38,021,NEOBUS MEGA BRT,ARTICULADO
BA023,2011-11-10,28,829,MARCOPOLO TORINO,COMUM
EL309,2011-10-13,29,506,NEOBUS MEGA BRT,PADRON
EL310,2011-10-13,29,507,NEOBUS MEGA BRT,PADRON
EL314,2011-10-13,29,506,NEOBUS MEGA BRT,PADRON
EL308,2011-10-13,29,506,NEOBUS MEGA BRT,PADRON
LE702,2011-10-06,57,303,NEOBUS MEGA BRT,BIARTICULADO
LE705,NULO,57,303,NULO,BIARTICULADO
BC500,2011-11-11,28,205,NEOBUS MEGA,SEMIPADRON
LE706,2011-10-06,57,303,NEOBUS MEGA BRT,BIARTICULADO
CA001,2011-10-17,28,375,CAIO APACHE VIP,COMUM
EL304,2011-10-13,29,506,NEOBUS MEGA BRT,PADRON
EL313,2011-10-13,29,507,NEOBUS MEGA BRT,PADRON
LC504,2011-12-09,27,826,MARCOPOLO VIALE,SEMIPADRON
LC507,2011-12-08,27,801,MARCOPOLO VIALE,SEMIPADRON
LC505,2011-12-09,27,826,MARCOPOLO VIALE,SEMIPADRON
BE705,2012-03-22,57,200,NEOBUS MEGA BRT,BIARTICULADO
KA605,2011-11-23,38,629,NEOBUS MEGA BRT,ARTICULADO
DL309,2011-11-08,29,305,NEOBUS MEGA BRT,PADRON
DL314,2011-11-08,29,305,NEOBUS MEGA BRT,PADRON
GL320,2011-12-23,29,508,NEOBUS MEGA BRT,PADRON
GL322,2011-12-23,29,506,NEOBUS MEGA BRT,PADRON
GL319,2011-12-23,29,508,NEOBUS MEGA BRT,PADRON
EA004,2011-12-13,28,532,MARCOPOLO TORINO,COMUM
DE712,2011-11-29,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE711,2011-11-29,57,303,NEOBUS MEGA BRT,BIARTICULADO
EA005,2011-12-13,28,522,MARCOPOLO TORINO,COMUM
EA003,2011-12-13,28,511,MARCOPOLO TORINO,COMUM
DE715,NULO,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE714,2011-11-30,57,303,NEOBUS MEGA BRT,BIARTICULADO
DE713,2011-11-30,57,303,NEOBUS MEGA BRT,BIARTICULADO
GL324,2011-12-23,29,506,NEOBUS MEGA BRT,PADRON
DE722,2011-12-29,57,302,NEOBUS MEGA BRT,BIARTICULADO
GL321,2011-12-23,29,508,NEOBUS MEGA BRT,PADRON
HE711,2012-03-05,57,603,NEOBUS MEGA BRT,BIARTICULADO
HE708,2012-03-05,57,603,NEOBUS MEGA BRT,BIARTICULADO
HE707,2012-03-05,57,602,NEOBUS MEGA BRT,BIARTICULADO
HE712,2012-03-05,57,603,NEOBUS MEGA BRT,BIARTICULADO
HE709,2012-03-05,57,602,NEOBUS MEGA BRT,BIARTICULADO
*A851,2012-01-10,19,370,CIFERAL SENIOR MIDI,MICROESPECIAL
*A850,2012-01-10,19,809,CIFERAL SENIOR MIDI,MICROESPECIAL
LC850,2012-01-10,19,674,CIFERAL SENIOR MIDI,MICROESPECIAL
DE716,2012-01-25,57,303,NEOBUS MEGA BRT,BIARTICULADO
GE717,2012-01-17,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
GE718,2012-01-17,57,500,NEOBUS MEGA BRT,BIARTIC. BIO
LC500,2012-02-13,27,826,MARCOPOLO VIALE,SEMIPADRON
DE719,2012-01-25,57,303,NEOBUS MEGA BRT,BIARTICULADO
ML314,2012-04-03,29,307,NEOBUS MEGA BRT,PADRON
ML305,2012-04-03,29,902,NEOBUS MEGA BRT,PADRON
ML306,2012-04-03,29,902,NEOBUS MEGA BRT,PADRON
ML312,2012-04-03,29,307,NEOBUS MEGA BRT,PADRON
BA002,2012-03-19,28,342,MARCOPOLO TORINO,COMUM
BC012,2012-03-12,27,166,MARCOPOLO TORINO,COMUM
BA032,2012-04-25,28,236,MARCOPOLO TORINO,COMUM
BA028,2012-03-12,28,924,MARCOPOLO TORINO,COMUM
BC027,2012-04-12,27,160,MARCOPOLO TORINO,COMUM
BC001,NULO,27,201,MARCOPOLO TORINO,COMUM
EA024,2012-02-28,28,512,MARCOPOLO TORINO,COMUM
EA007,2012-02-28,28,531,MARCOPOLO TORINO,COMUM
